Turn,Defenders,Attackers
0,100,100
1,110,90
2,124,76
3,132,68
4,149,51
5,154,46
6,161,39
7,168,32
8,168,32
9,175,25
10,181,19
11,188,12
12,189,11
13,190,10
14,195,5
15,198,2
16,200,0
